# individual data for particle 0 out of 1
# column 1: time
# columns 2-4: centre position
# columns 5-7: centre velocity
# columns 8-10: angular momentum
# columns 11-13: angular velocity
# columns 14-16: total force
# columns 17-19: total torque
# column 20: total energy
# column 21: strain energy
# column 22: bending energy
# column 23: surface energy
# column 24: volume energy
# column 25: interaction energy
# columns 26-34: stresslet
# column 35: volume
# column 36: surface
# column 37: minimum area deviation
# column 38: maximum area deviation
# column 39: minimum edge length
# column 40: maximum edge length
# column 41: maximum normal-normal angle
time x y z v_x v_y v_z L_x L_y L_z omega_x omega_y omega_z F_x F_y F_z T_x T_y T_z E_tot E_S E_B E_A E_V E_int sigma_xx sigma_xy sigma_xz sigma_yx sigma_yy sigma_yz sigma_zx sigma_zy sigma_zz volume surface areaDevMin areaDevMax edgeMin edgeMax angleMax
0 15 15 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1755 704.2 -5.107e-15 5.551e-15 0.922 1.082 5.35 
100 15.0204033912909 15.0000001824224 15.0000612793066 0.0007691 -2.513e-08 3.095e-06 0.0002056 2.936 0.001092 7.776e-09 0.0001112 4.135e-08 0 0 0 0 0 0 0.0001685 0.0001685 0 4.281e-10 0 0 0.001195 -2.607e-06 0.07409 -2.607e-06 0.0008553 -1.835e-05 0.07409 -1.835e-05 0.001176 1755 704.2 -0.003336 0.003258 0.9192 1.085 5.372 
200 15.191231602374 14.9999945978274 15.0011440237509 0.002688 -8.253e-08 1.952e-05 0.000304 7.206 0.002513 1.152e-08 0.0002728 9.523e-08 0 0 0 0 0 0 0.001031 0.001031 0 2.061e-08 0 0 0.0115 -4.913e-05 0.2196 -4.913e-05 0.005686 -5.469e-05 0.2196 -5.469e-05 0.004209 1755 704.2 -0.006992 0.007794 0.9161 1.089 5.454 
300 15.5543295537216 14.9999893721234 15.0034962188051 0.004528 8.593e-09 2.022e-05 0.0006325 9.426 0.002136 2.387e-08 0.0003569 8.099e-08 0 0 0 0 0 0 0.002016 0.002016 0 1.022e-07 0 0 0.02838 -0.0001039 0.3336 -0.0001039 0.01079 -3.353e-05 0.3336 -3.353e-05 0.006434 1755 704.2 -0.009811 0.01071 0.9134 1.091 5.598 
400 16.088838590019 14.9999821455563 15.0046923247912 0.006106 -1.301e-07 1.949e-05 0.001473 10.54 0.002376 5.544e-08 0.000399 9.035e-08 0 0 0 0 0 0 0.002895 0.002894 0 3.273e-07 0 0 0.05127 -0.0001334 0.4202 -0.0001334 0.01767 -6.797e-05 0.4202 -6.797e-05 0.007742 1755 704.2 -0.01081 0.01198 0.9121 1.091 5.655 
500 16.7682131209838 14.999968743809 15.0069579759934 0.007422 -1.029e-07 1.146e-05 0.0009878 11.08 0.001634 3.685e-08 0.0004194 6.23e-08 0 0 0 0 0 0 0.003646 0.003646 0 7.096e-07 0 0 0.07689 -0.0001019 0.4833 -0.0001019 0.02536 -2.08e-05 0.4833 -2.08e-05 0.00635 1755 704.2 -0.01099 0.01152 0.9119 1.091 5.664 
600 17.5681556835173 14.9999631745012 15.0086113338182 0.008525 -5.97e-08 1.934e-05 0.000471 11.39 0.001771 1.727e-08 0.0004311 6.747e-08 0 0 0 0 0 0 0.004345 0.004344 0 1.364e-06 0 0 0.1054 -8.413e-05 0.5345 -8.413e-05 0.03504 5.963e-06 0.5345 5.963e-06 0.005248 1755 704.3 -0.009415 0.008984 0.9127 1.092 5.712 
700 18.4681681604774 14.9999552788284 15.0100037192483 0.00943 -8.658e-09 2.311e-05 -0.0002172 11.6 0.003736 -8.43e-09 0.0004391 1.417e-07 0 0 0 0 0 0 0.005016 0.005014 0 2.257e-06 0 0 0.1327 -0.0001687 0.5749 -0.0001687 0.04564 -6.977e-06 0.5749 -6.977e-06 0.005209 1755 704.3 -0.0103 0.008439 0.9121 1.093 5.753 
800 19.450574657087 14.9999446626816 15.0111905469541 0.01018 -4.971e-08 1.959e-05 0.000427 11.74 0.00306 1.564e-08 0.0004445 1.165e-07 0 0 0 0 0 0 0.005701 0.005697 0 3.442e-06 0 0 0.1619 -0.000197 0.6094 -0.000197 0.05707 -1.009e-05 0.6094 -1.009e-05 0.004302 1755 704.3 -0.009333 0.008549 0.9128 1.093 5.803 
900 20.500766084415 14.9999405961743 15.012319218993 0.0108 -5.198e-08 2.046e-05 0.0004886 11.81 0.001612 1.751e-08 0.0004469 6.182e-08 0 0 0 0 0 0 0.006343 0.006338 0 4.846e-06 0 0 0.1919 -0.0001835 0.6368 -0.0001835 0.06758 3.562e-05 0.6368 3.562e-05 0.002643 1755 704.3 -0.01149 0.006885 0.9113 1.093 5.768 
