# orientation data for particle 0 out of 1
# column 1: time
# columns 2-4: principal axes
# columns 5-7: eigenvector 0
# columns 8-10: eigenvector 1
# columns 11-13: eigenvector 2
time a b c eigvec0x eigvec0y eigvec0z eigvec1x eigvec1y eigvec1z eigvec2x eigvec2y eigvec2z
0 7.47744 7.47744 7.47744 1 0 0 0 -0.763593 -0.645697 0 -0.645697 0.763593
100 7.48172 7.47743 7.4732 -0.704752 0.000539272 -0.709453 -0.000262602 0.999999 0.00102098 -0.709453 -0.000905845 0.704752
200 7.49237 7.47727 7.4628 -0.708241 0.000412416 -0.705971 -0.000284665 1 0.000869762 -0.705971 -0.000816966 0.70824
300 7.50532 7.477 7.45026 -0.718151 0.000481531 -0.695887 -0.000157366 1 0.000854368 -0.695887 -0.000723075 0.718151
400 7.51927 7.47672 7.43681 -0.731556 0.000617589 -0.681781 -0.000174623 0.999999 0.00109322 -0.681781 -0.000918805 0.731555
500 7.53388 7.47637 7.4228 -0.745435 0.000571919 -0.666579 -0.00014568 0.999999 0.00102091 -0.666579 -0.000858125 0.745434
600 7.54874 7.47597 7.40863 -0.759488 0.000526117 -0.650521 -0.000133423 1 0.000964535 -0.650521 -0.000819347 0.759488
700 7.56378 7.47554 7.39438 -0.773653 0.000575416 -0.633609 -9.56607e-05 0.999999 0.00102496 -0.633609 -0.000853575 0.773653
800 7.57887 7.47507 7.38016 -0.787584 0.000580253 -0.616207 -7.02895e-05 0.999999 0.00103149 -0.616207 -0.000855698 0.787584
900 7.59393 7.47457 7.36605 -0.801157 0.000560569 -0.598453 -4.93097e-05 0.999999 0.00100271 -0.598454 -0.000832835 0.801157
1000 7.60892 7.47406 7.35203 -0.814462 0.000581338 -0.580217 -8.34269e-06 0.999999 0.00101364 -0.580218 -0.000830412 0.814461
1100 7.62371 7.47351 7.33833 -0.827293 0.000530473 -0.561771 -1.56483e-05 1 0.000967331 -0.561771 -0.000809057 0.827292
1200 7.63836 7.47291 7.32484 -0.839773 0.00049378 -0.542937 -1.97806e-05 1 0.000940055 -0.542937 -0.000800172 0.839773
1300 7.65287 7.47234 7.31148 -0.851817 0.000454133 -0.523839 -3.32183e-06 1 0.000872333 -0.52384 -0.000744808 0.851817
1400 7.6669 7.47174 7.29864 -0.863316 0.00039825 -0.504663 -2.04779e-05 1 0.000824172 -0.504664 -0.000721855 0.863316
1500 7.68063 7.47114 7.28615 -0.874247 0.000362771 -0.485481 -1.68114e-05 1 0.000777514 -0.485481 -0.000687902 0.874247
1600 7.69394 7.47051 7.27413 -0.884625 0.0003203 -0.466302 -2.40456e-05 1 0.000732511 -0.466302 -0.00065921 0.884625
1700 7.70679 7.46989 7.26253 -0.894519 0.000278204 -0.44703 -3.86031e-05 1 0.000699583 -0.44703 -0.000643047 0.894519
1800 7.71926 7.46929 7.25134 -0.903861 0.000249605 -0.427825 -4.27512e-05 1 0.000673747 -0.427825 -0.000627264 0.903861
1900 7.73116 7.46869 7.2407 0.912787 -0.000223346 0.408435 -4.58374e-05 1 0.000649273 -0.408435 -0.00061137 0.912787
2000 7.74253 7.46807 7.2306 0.921251 -0.000201874 0.388968 -4.49531e-05 1 0.000625467 -0.388968 -0.000593698 0.921251
