time denFluctAv velMax forceMax velAvX velAvY velAvZ momAvX momAvY momAvZ forceX forceY forceZ ergKin ergDiss ergTransfer extWork
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
100 -2.34766e-17 0.0280531 0.000653589 0.00457312 4.96168e-11 -7.23126e-08 0.00457312 5.72268e-11 -7.01247e-08 4.66207e-18 7.80626e-18 3.46945e-18 1.21978 0 -1.05946e-05 0
200 -1.90603e-17 0.0287163 0.00143171 0.00650813 -2.79034e-09 -2.2369e-08 0.00650813 -2.80253e-09 -1.49932e-08 1.37152e-17 -6.07153e-18 -8.67362e-19 1.69303 0 -3.81344e-05 0
300 -1.35019e-17 0.0289796 0.00193359 0.00798756 -7.07106e-09 -4.54607e-08 0.00798755 -7.09599e-09 -3.43387e-08 2.1684e-17 1.47451e-17 -8.67362e-18 2.04874 0 -5.96092e-05 0
400 -8.65193e-18 0.0291315 0.00179486 0.00918749 -7.84342e-09 -1.74292e-07 0.00918748 -7.87416e-09 -1.59889e-07 -4.33681e-18 -8.67362e-19 3.46945e-17 2.35564 0 -7.46761e-05 0
500 -3.65015e-18 0.0292339 0.00185621 0.0101719 -1.45027e-08 1.03936e-07 0.0101719 -1.45078e-08 1.19669e-07 2.60209e-18 -3.46945e-18 -1.73472e-17 2.6295 0 -8.29482e-05 0
600 6.32451e-19 0.0293173 0.00207555 0.0109812 -1.8124e-08 6.61931e-08 0.0109812 -1.80907e-08 8.15721e-08 -2.60209e-17 0 -6.93889e-18 2.87437 0 -8.94317e-05 0
700 4.42716e-18 0.0293744 0.00196367 0.011647 -1.98668e-08 9.62403e-08 0.011647 -1.98792e-08 1.11799e-07 1.38778e-17 1.30104e-17 4.16334e-17 3.09088 0 -9.34284e-05 0
800 9.81926e-18 0.0294273 0.00182072 0.0121946 -2.24178e-08 1.14587e-07 0.0121946 -2.24322e-08 1.29187e-07 2.42861e-17 4.11997e-18 4.85723e-17 3.28 0 -9.68419e-05 0
900 1.73978e-17 0.0294608 0.00176009 0.0126452 -2.23986e-08 8.65435e-08 0.0126451 -2.23756e-08 1.00079e-07 5.20417e-18 -6.17995e-18 -2.08167e-17 3.44358 0 -9.85143e-05 0
1000 2.07589e-17 0.029495 0.00166368 0.0130157 -1.99857e-08 1.21115e-07 0.0130157 -1.99867e-08 1.33306e-07 7.80626e-18 -1.6263e-18 -3.46945e-18 3.58328 0.00799444 -9.9544e-05 0
1100 2.45825e-17 0.0295197 0.00161093 0.0133205 -1.67514e-08 2.95251e-07 0.0133205 -1.67492e-08 3.05394e-07 -3.18755e-17 -1.31324e-17 -1.21431e-17 3.70206 0.00799442 -0.000100196 0
1200 2.97433e-17 0.0295396 0.00170144 0.0135713 -1.54049e-08 4.0388e-07 0.0135713 -1.53783e-08 4.14657e-07 -3.10353e-18 1.8179e-17 -4.80844e-17 3.8029 0.00799438 -0.000108332 0
1300 3.01228e-17 0.0295605 0.0019269 0.013778 -1.52861e-08 -5.62723e-08 0.013778 -1.53632e-08 -4.72109e-08 -2.81893e-18 -9.75782e-18 -5.46438e-17 3.88764 0.00799437 -0.000109628 0
1400 3.41018e-17 0.0295716 0.00182479 0.0139479 -1.40397e-08 -1.84222e-07 0.0139479 -1.398e-08 -1.75298e-07 1.04083e-17 -4.33681e-18 1.11022e-16 3.95777 0.00799437 -0.000111238 0
1500 3.88542e-17 0.0295842 0.00161243 0.0140875 -1.1506e-08 -3.38527e-07 0.0140875 -1.14457e-08 -3.30481e-07 -1.38778e-17 3.03577e-17 -7.63278e-17 4.01622 0.00799438 -0.000116523 0
1600 4.22803e-17 0.0295914 0.00211418 0.0142023 -9.18004e-09 -2.21236e-07 0.0142023 -9.19122e-09 -2.1399e-07 -1.04083e-17 -9.54098e-18 -3.46945e-18 4.06489 0.00799442 -0.000119072 0
1700 4.5822e-17 0.0295986 0.00182236 0.0142969 -1.69143e-08 -5.20758e-07 0.0142968 -1.67779e-08 -5.14016e-07 1.56125e-17 -1.73472e-18 -7.97973e-17 4.10561 0.00799445 -0.000121819 0
1800 4.61834e-17 0.0296056 0.00150657 0.0143747 -2.14622e-08 -3.57467e-07 0.0143747 -2.14193e-08 -3.5066e-07 -3.46945e-18 8.67362e-18 -1.73472e-17 4.1393 0.00799446 -0.000123426 0
1900 5.1337e-17 0.0296088 0.0018898 0.0144389 -1.97788e-08 -1.41644e-07 0.0144389 -1.97603e-08 -1.35462e-07 4.51028e-17 -8.67362e-18 1.38778e-17 4.16718 0.00799449 -0.000128164 0
2000 5.60352e-17 0.0296168 0.00212385 0.0144918 -9.16382e-09 -2.34352e-07 0.0144917 -9.12556e-09 -2.28668e-07 6.93889e-18 -5.20417e-18 6.245e-17 4.19041 0.0078345 -0.00013145 0
