# orientation data for particle 0 out of 1
# column 1: time
# columns 2-4: principal axes
# columns 5-7: eigenvector 0
# columns 8-10: eigenvector 1
# columns 11-13: eigenvector 2
time a b c eigvec0x eigvec0y eigvec0z eigvec1x eigvec1y eigvec1z eigvec2x eigvec2y eigvec2z
0 7.47744 7.47744 7.47744 1 0 0 0 -0.763593 -0.645697 0 -0.645697 0.763593
100 7.48179 7.47743 7.47313 -0.704814 0.00051153 -0.709392 -0.000242206 1 0.000961725 -0.709392 -0.000849656 0.704814
200 7.49274 7.47728 7.46242 -0.708644 0.000357101 -0.705566 -0.000255875 1 0.000763112 -0.705566 -0.000721311 0.708644
300 7.50617 7.47703 7.44937 -0.71876 0.000368455 -0.695258 -0.000135929 1 0.000670478 -0.695259 -0.000576418 0.71876
400 7.52075 7.47677 7.43525 -0.732138 0.000418667 -0.681156 -0.00015734 1 0.000783759 -0.681156 -0.000680993 0.732138
500 7.53598 7.47646 7.42056 -0.745998 0.000362021 -0.665948 -0.000120032 1 0.000678078 -0.665948 -0.00058578 0.745998
600 7.5515 7.47611 7.4057 -0.759933 0.000297653 -0.650002 -0.000116228 1 0.000593812 -0.650002 -0.000526805 0.759932
700 7.56709 7.47575 7.3908 -0.773912 0.000291525 -0.633293 -0.000109101 1 0.000593658 -0.633293 -0.000528532 0.773912
800 7.5826 7.47537 7.37606 -0.787662 0.000293762 -0.616107 -0.000113957 1 0.000622492 -0.616107 -0.000560524 0.787662
900 7.59795 7.47498 7.36153 -0.801009 0.000255493 -0.598653 -0.000111122 1 0.000575464 -0.598653 -0.000527475 0.801009
1000 7.61304 7.47461 7.34728 -0.814082 0.000273652 -0.58075 -8.44874e-05 1 0.000589638 -0.58075 -0.00052908 0.814082
1100 7.62774 7.47421 7.33349 -0.826677 0.00021004 -0.562677 -0.000112164 1 0.000538075 -0.562677 -0.000507926 0.826676
1200 7.64212 7.47381 7.32006 -0.838943 0.00018569 -0.54422 -0.000127322 1 0.000537477 -0.54422 -0.000520204 0.838943
1300 7.65615 7.47344 7.30694 -0.850701 0.000126508 -0.525649 -0.00014479 1 0.000474996 -0.525649 -0.000480188 0.850701
1400 7.66952 7.47311 7.29446 -0.861917 9.40619e-05 -0.507049 -0.00016122 1 0.000459562 -0.507049 -0.000477851 0.861917
1500 7.68233 7.47281 7.28253 -0.87262 6.60396e-05 -0.4884 -0.000169258 1 0.000437629 -0.4884 -0.000464549 0.87262
1600 7.69463 7.47251 7.27116 -0.882754 2.90644e-05 -0.469835 -0.000186543 1 0.000412349 -0.469835 -0.000451647 0.882754
1700 7.70626 7.47221 7.26041 -0.89245 -4.91639e-06 -0.451147 -0.000212738 1 0.000409936 -0.451147 -0.000461823 0.89245
1800 7.71731 7.47202 7.25018 -0.901647 -2.34902e-05 -0.432473 -0.000212832 1 0.000389409 -0.432473 -0.000443153 0.901647
1900 7.72767 7.4718 7.24061 -0.910365 -3.60624e-05 -0.413807 -0.000214777 1 0.000385356 -0.413806 -0.000439691 0.910365
2000 7.7374 7.47159 7.23168 0.918616 4.89284e-05 0.395153 -0.000212918 1 0.000371152 -0.395152 -0.000425082 0.918615
