# individual data for particle 0 out of 1
# column 1: time
# columns 2-4: centre position
# columns 5-7: centre velocity
# columns 8-10: angular momentum
# columns 11-13: angular velocity
# columns 14-16: total force
# columns 17-19: total torque
# column 20: total energy
# column 21: strain energy
# column 22: bending energy
# column 23: surface energy
# column 24: volume energy
# column 25: interaction energy
# columns 26-34: stresslet
# column 35: volume
# column 36: surface
# column 37: minimum area deviation
# column 38: maximum area deviation
# column 39: minimum edge length
# column 40: maximum edge length
# column 41: maximum normal-normal angle
time x y z v_x v_y v_z L_x L_y L_z omega_x omega_y omega_z F_x F_y F_z T_x T_y T_z E_tot E_S E_B E_A E_V E_int sigma_xx sigma_xy sigma_xz sigma_yx sigma_yy sigma_yz sigma_zx sigma_zy sigma_zz volume surface areaDevMin areaDevMax edgeMin edgeMax angleMax
0 15 15 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.299e-313 2.598e-314 2.598e-314 2.598e-314 2.598e-314 2.598e-314 0 0 0 0 0 0 0 0 0 1755 704.2 -5.107e-15 5.551e-15 0.922 1.082 5.35 
100 15.0200048660418 15.000000180999 15.0000587176777 0.0007694 -5.131e-08 3.05e-06 0.0002464 2.936 0.001513 9.307e-09 0.0001112 5.731e-08 0 0 0 0 0 0 3.79e-05 3.79e-05 0 5.537e-10 0 0 0.0007508 -3.419e-06 0.01051 -3.419e-06 0.0006717 -4.213e-06 0.01051 -4.213e-06 0.0006695 1755 704.2 -0.005494 0.005577 0.9175 1.086 5.383 
200 15.1896517934788 14.9999949451545 15.0011960621347 0.002686 -2.458e-08 1.905e-05 -0.0003327 7.202 0.00325 -1.273e-08 0.0002727 1.231e-07 0 0 0 0 0 0 0.0003821 0.0003821 0 3.142e-08 0 0 0.006775 -1.722e-05 0.0398 -1.722e-05 0.005389 -2.316e-05 0.0398 -2.316e-05 0.004293 1755 704.2 -0.01606 0.01714 0.9103 1.094 5.455 
300 15.5511271000432 14.999992450056 15.0035365389721 0.004525 -1.639e-08 1.931e-05 0.001014 9.419 0.002124 3.792e-08 0.0003566 8.068e-08 0 0 0 0 0 0 0.00105 0.00105 0 1.539e-07 0 0 0.01751 -2.502e-05 0.07262 -2.502e-05 0.01226 -2.861e-05 0.07262 -2.861e-05 0.008094 1755 704.2 -0.02561 0.02706 0.9031 1.101 5.556 
400 16.0839836113769 14.9999867837954 15.0047195767275 0.006101 -2.559e-08 1.923e-05 0.001113 10.54 0.002727 4.125e-08 0.0003989 1.038e-07 0 0 0 0 0 0 0.001937 0.001936 0 4.97e-07 0 0 0.03374 -4.254e-05 0.1049 -4.254e-05 0.02199 -4.786e-05 0.1049 -4.786e-05 0.01266 1755 704.2 -0.03375 0.03584 0.8972 1.106 5.595 
500 16.7616805776669 14.9999797810291 15.0069294664342 0.00742 -7.979e-08 1.014e-05 0.00078 11.08 0.003114 2.858e-08 0.0004194 1.185e-07 0 0 0 0 0 0 0.002938 0.002937 0 1.089e-06 0 0 0.05337 -6.253e-05 0.1348 -6.253e-05 0.0327 -5.063e-05 0.1348 -5.063e-05 0.01565 1755 704.3 -0.03909 0.0424 0.8933 1.109 5.643 
600 17.5602206501454 14.999974234786 15.0083866375459 0.008519 -3.205e-08 1.667e-05 0.0005052 11.38 0.00283 1.809e-08 0.0004306 1.078e-07 0 0 0 0 0 0 0.003995 0.003993 0 2.171e-06 0 0 0.07757 -7.882e-05 0.1621 -7.882e-05 0.0457 -5.253e-05 0.1621 -5.253e-05 0.0192 1755 704.3 -0.04136 0.04565 0.8918 1.11 5.655 
700 18.4587727389485 14.999971120312 15.0094560534794 0.009425 -1.6e-08 2.072e-05 0.0001363 11.59 0.004292 4.378e-09 0.0004388 1.631e-07 0 0 0 0 0 0 0.005065 0.005062 0 3.824e-06 0 0 0.1044 -9.34e-05 0.1863 -9.34e-05 0.05991 -5.676e-05 0.1863 -5.676e-05 0.02302 1755 704.3 -0.04222 0.04462 0.891 1.111 5.647 
800 19.4398488330178 14.9999514004605 15.0102904260508 0.01017 -1.564e-07 1.68e-05 0.001501 11.72 0.003793 5.574e-08 0.0004437 1.45e-07 0 0 0 0 0 0 0.006132 0.006126 0 6.22e-06 0 0 0.1338 -0.000117 0.2078 -0.000117 0.07554 -5.566e-05 0.2078 -5.566e-05 0.02718 1755 704.3 -0.04291 0.04368 0.8897 1.113 5.634 
900 20.4888753358406 14.9999470689808 15.0110600597466 0.01079 -2.103e-08 1.737e-05 0.0005263 11.77 0.002285 1.815e-08 0.0004453 8.784e-08 0 0 0 0 0 0 0.007174 0.007165 0 9.497e-06 0 0 0.1656 -0.0001312 0.2266 -0.0001312 0.09204 -5.034e-05 0.2266 -5.034e-05 0.03176 1755 704.3 -0.04431 0.04713 0.8873 1.115 5.648 
1000 21.5939434695761 14.9999459531435 15.0118204218455 0.0113 -9.142e-09 1.19e-05 -3.381e-06 11.82 0.003178 -1.858e-09 0.0004471 1.214e-07 0 0 0 0 0 0 0.008171 0.008158 0 1.385e-05 0 0 0.199 -0.000149 0.2428 -0.000149 0.1096 -4.468e-05 0.2428 -4.468e-05 0.03726 1755 704.4 -0.04632 0.05259 0.8846 1.118 5.729 
1100 22.7452298789338 14.9999376101442 15.0123202351904 0.01171 -1.185e-07 5.706e-06 0.001022 11.86 0.001058 3.63e-08 0.0004486 4.241e-08 0 0 0 0 0 0 0.009126 0.009106 0 1.959e-05 0 0 0.2342 -0.0001462 0.2567 -0.0001462 0.1288 -3.442e-05 0.2567 -3.442e-05 0.04407 1755 704.4 -0.04745 0.05623 0.883 1.118 5.819 
1200 23.9343956700629 14.9999332223456 15.0137645365283 0.01205 -2.69e-08 1.734e-05 0.0008004 11.98 0.001247 2.79e-08 0.0004532 4.983e-08 0 0 0 0 0 0 0.01003 0.01001 0 2.681e-05 0 0 0.2706 -0.0001461 0.2686 -0.0001461 0.1492 -2.59e-05 0.2686 -2.59e-05 0.05179 1755 704.4 -0.04735 0.05715 0.8827 1.117 5.915 
1300 25.1548437925421 14.9999253018431 15.0129944203894 0.01234 9.442e-08 -2.913e-06 0.002254 11.89 -0.0005341 8.279e-08 0.0004497 -1.591e-08 0 0 0 0 0 0 0.01095 0.01091 0 3.551e-05 0 0 0.3078 -0.0001515 0.2795 -0.0001515 0.17 -9.43e-06 0.2795 -9.43e-06 0.06059 1755 704.4 -0.04826 0.0552 0.8826 1.114 6.013 
1400 26.4009700650399 14.9999204045275 15.0125679758683 0.01257 -1.318e-08 7.421e-06 0.0002675 11.86 0.0001689 7.558e-09 0.0004482 9.603e-09 0 0 0 0 0 0 0.01175 0.0117 0 4.556e-05 0 0 0.3447 -0.0001514 0.2877 -0.0001514 0.1909 -2.29e-06 0.2877 -2.29e-06 0.06934 1755 704.5 -0.04944 0.05585 0.8819 1.11 6.105 
1500 27.6681680585986 14.9999151814164 15.0126058124827 0.01276 -1.058e-07 3.535e-07 0.0005546 11.77 0.000388 1.895e-08 0.000445 1.826e-08 0 0 0 0 0 0 0.01248 0.01242 0 5.784e-05 0 0 0.3828 -0.0001425 0.2943 -0.0001425 0.2131 1.307e-05 0.2943 1.307e-05 0.08022 1755 704.5 -0.04972 0.0564 0.8806 1.112 6.195 
1600 28.9526655195998 14.9999083357584 15.0124204234346 0.01292 -1.608e-08 -1.09e-06 -2.199e-05 11.72 0.0001487 -2.932e-09 0.0004431 9.182e-09 0 0 0 0 0 0 0.01317 0.01309 0 7.293e-05 0 0 0.4222 -0.0001364 0.2996 -0.0001364 0.2373 2.369e-05 0.2996 2.369e-05 0.09366 1755 704.5 -0.04924 0.0547 0.88 1.114 6.241 
1700 30.251621354631 14.999900491483 15.0123713994567 0.01305 -4.363e-08 9.317e-06 0.00193 11.7 -0.0002509 7.202e-08 0.0004419 -3.862e-09 0 0 0 0 0 0 0.0138 0.01371 0 8.822e-05 0 0 0.459 -0.0001263 0.3037 -0.0001263 0.2594 3.963e-05 0.3037 3.963e-05 0.1051 1755 704.6 -0.04848 0.05605 0.8792 1.116 6.28 
1800 31.5623526203921 14.9998920880698 15.0126488034015 0.01316 -7.635e-08 8.439e-06 0.0005076 11.68 9.683e-05 1.797e-08 0.0004414 8.206e-09 0 0 0 0 0 0 0.01439 0.01428 0 0.0001069 0 0 0.4975 -0.0001101 0.3065 -0.0001101 0.2836 4.788e-05 0.3065 4.788e-05 0.1195 1755 704.6 -0.04684 0.05509 0.8791 1.119 6.312 
1900 32.8831196848299 14.9998895670602 15.0127831306406 0.01325 -1.292e-07 1.517e-06 0.0003549 11.6 0.0005672 1.267e-08 0.000438 2.577e-08 0 0 0 0 0 0 0.01494 0.01481 0 0.0001265 0 0 0.5343 -9.201e-05 0.3086 -9.201e-05 0.3069 5.435e-05 0.3086 5.435e-05 0.1334 1755 704.6 -0.04658 0.05214 0.8785 1.121 6.296 
2000 34.2122160343075 14.999887664785 15.0128360553265 0.01332 -2.95e-08 9.601e-06 0.001535 11.56 -0.000427 5.773e-08 0.0004367 -1.024e-08 0 0 0 0 0 0 0.01544 0.01529 0 0.0001483 0 0 0.5708 -8.481e-05 0.3098 -8.481e-05 0.3309 7.167e-05 0.3098 7.167e-05 0.1485 1755 704.7 -0.04714 0.05018 0.8785 1.123 6.291 
