time denFluctAv velMax forceMax velAvX velAvY velAvZ momAvX momAvY momAvZ forceX forceY forceZ ergKin ergDiss ergTransfer extWork
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
100 -2.26418e-17 0.0280484 1.06863e-05 0.00457305 7.05454e-11 -7.16041e-08 0.00457305 7.43884e-11 -7.16254e-08 4.06576e-20 -2.71051e-20 8.80914e-20 1.22016 0 -1.7697e-07 0
200 -1.90097e-17 0.0287118 3.39456e-05 0.00650711 2.6176e-11 -3.02234e-08 0.00650711 4.65655e-12 -3.28698e-08 -5.14996e-19 3.25261e-19 4.60786e-19 1.69489 0 -7.51124e-07 0
300 -1.21684e-17 0.0289709 5.75399e-05 0.00798478 9.31768e-10 -6.70977e-08 0.00798477 8.85877e-10 -7.08685e-08 -1.84314e-18 -1.73472e-18 -5.96311e-19 2.0518 0 -1.36339e-06 0
400 -9.50484e-18 0.029125 8.26512e-05 0.00918313 2.72367e-09 -1.08649e-07 0.00918312 2.69387e-09 -1.11712e-07 4.33681e-19 -2.1684e-19 -8.67362e-19 2.35934 0 -2.0631e-06 0
500 -2.7358e-18 0.0292306 0.000104457 0.0101664 3.59407e-09 5.81209e-08 0.0101664 3.60258e-09 5.58727e-08 -8.45678e-18 0 -2.1684e-19 2.63337 0 -2.6099e-06 0
600 2.34188e-18 0.0293089 0.000124274 0.0109755 3.21562e-10 2.75993e-08 0.0109755 3.18754e-10 2.65555e-08 -8.67362e-19 -3.03577e-18 2.38524e-18 2.87845 0 -3.22304e-06 0
700 1.06252e-17 0.0293715 0.000139403 0.0116415 -3.78718e-09 9.30293e-08 0.0116415 -3.84168e-09 9.25575e-08 -4.33681e-19 -4.77049e-18 -1.30104e-18 3.09516 0 -3.68141e-06 0
800 1.19407e-17 0.0294191 0.000148104 0.0121898 -5.42268e-09 1.76029e-07 0.0121898 -5.37712e-09 1.77041e-07 -5.63785e-18 4.77049e-18 2.1684e-19 3.28475 0 -4.33013e-06 0
900 1.74195e-17 0.0294556 0.000172011 0.0126412 -5.71054e-09 2.6053e-07 0.0126412 -5.74751e-09 2.61552e-07 1.73472e-18 6.28837e-18 2.60209e-18 3.44863 0 -4.97899e-06 0
1000 2.28911e-17 0.0294871 0.000175448 0.0130129 -4.16011e-09 9.89902e-08 0.0130129 -4.15861e-09 1.00449e-07 7.37257e-18 -8.89046e-18 -1.95156e-18 3.58881 0.0100868 -5.60869e-06 0
1100 2.90349e-17 0.0295089 0.000192052 0.013319 -5.71326e-09 2.42183e-07 0.0133189 -5.74449e-09 2.44225e-07 -1.38778e-17 -1.95834e-17 -1.0842e-18 3.70807 0.0100867 -6.28042e-06 0
1200 3.19008e-17 0.0295293 0.00019407 0.013571 -9.25961e-09 1.41874e-07 0.013571 -9.21671e-09 1.44715e-07 -1.24751e-17 6.8165e-18 2.3412e-18 3.80958 0.0100867 -7.21473e-06 0
1300 3.38488e-17 0.0295518 0.000191532 0.0137788 -1.16406e-08 -1.9472e-07 0.0137788 -1.16887e-08 -1.91772e-07 -2.25514e-17 -4.09015e-17 3.90313e-18 3.89462 0.0100867 -7.75189e-06 0
1400 3.95445e-17 0.0295652 0.000190603 0.0139497 -1.03925e-08 -1.3104e-07 0.0139497 -1.03752e-08 -1.27669e-07 3.29597e-17 9.48677e-18 6.50521e-19 3.96507 0.0100867 -8.73782e-06 0
1500 4.50161e-17 0.0295697 0.000201947 0.0140903 -1.02907e-08 -9.95745e-08 0.0140902 -1.02843e-08 -9.6829e-08 -3.98986e-17 1.34441e-17 -2.1684e-18 4.02413 0.0100867 -9.35919e-06 0
1600 4.70471e-17 0.0295765 0.000209752 0.0142061 -1.12799e-08 6.02841e-08 0.014206 -1.12839e-08 6.32189e-08 1.73472e-18 8.67362e-19 3.03577e-18 4.07324 0.0100868 -1.02528e-05 0
1700 5.36716e-17 0.0295876 0.000220929 0.0143014 -9.50221e-09 -2.21678e-07 0.0143014 -9.5187e-09 -2.18367e-07 -3.46945e-18 -1.73472e-18 8.67362e-19 4.11423 0.0100868 -1.11001e-05 0
1800 5.61617e-17 0.0295909 0.000231009 0.0143799 -1.09784e-08 -1.018e-07 0.0143798 -1.09535e-08 -9.8379e-08 -5.89806e-17 8.67362e-18 1.73472e-18 4.14837 0.0100869 -1.20533e-05 0
1900 6.15718e-17 0.0295948 0.000232082 0.0144447 -1.08937e-08 -4.23818e-08 0.0144446 -1.089e-08 -3.98799e-08 3.81639e-17 3.46945e-18 -1.0842e-18 4.17627 0.010087 -1.32726e-05 0
2000 6.35451e-17 0.0295995 0.00022792 0.0144981 -9.90478e-09 -9.60887e-08 0.014498 -9.88802e-09 -9.30992e-08 3.46945e-18 -3.1225e-17 -2.60209e-18 4.19951 0.00982059 -1.42267e-05 0
