# individual data for particle 0 out of 1
# column 1: time
# columns 2-4: centre position
# columns 5-7: centre velocity
# columns 8-10: angular momentum
# columns 11-13: angular velocity
# columns 14-16: total force
# columns 17-19: total torque
# column 20: total energy
# column 21: strain energy
# column 22: bending energy
# column 23: surface energy
# column 24: volume energy
# column 25: interaction energy
# columns 26-34: stresslet
# column 35: volume
# column 36: surface
# column 37: minimum area deviation
# column 38: maximum area deviation
# column 39: minimum edge length
# column 40: maximum edge length
# column 41: maximum normal-normal angle
time x y z v_x v_y v_z L_x L_y L_z omega_x omega_y omega_z F_x F_y F_z T_x T_y T_z E_tot E_S E_B E_A E_V E_int sigma_xx sigma_xy sigma_xz sigma_yx sigma_yy sigma_yz sigma_zx sigma_zy sigma_zz volume surface areaDevMin areaDevMax edgeMin edgeMax angleMax
0 15 15 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.061e-313 2.122e-314 2.122e-314 2.122e-314 2.122e-314 2.122e-314 0 0 0 0 0 0 0 0 0 1755 704.2 -5.107e-15 5.551e-15 0.922 1.082 5.35 
100 15.0199472055254 15.0000002077992 15.0000587104254 0.0007694 -5.526e-08 3.032e-06 0.000224 2.936 0.001552 8.458e-09 0.0001112 5.878e-08 0 0 0 0 0 0 4.247e-06 4.247e-06 0 5.9e-10 0 0 0.0006258 -3.163e-07 0.0011 -3.163e-07 0.0006173 -4.468e-07 0.0011 -4.468e-07 0.0006161 1755 704.2 -0.005883 0.00605 0.9173 1.086 5.385 
200 15.1893722746843 14.9999952656844 15.0012148990321 0.002685 -2.023e-08 1.882e-05 -0.0002646 7.201 0.003169 -1.02e-08 0.0002727 1.201e-07 0 0 0 0 0 0 4.849e-05 4.845e-05 0 3.578e-08 0 0 0.005016 -1.573e-06 0.004372 -1.573e-06 0.00486 -2.692e-06 0.004372 -2.692e-06 0.004716 1755 704.2 -0.0192 0.02035 0.9091 1.096 5.467 
300 15.5505088597339 14.9999932334068 15.0035762118075 0.004524 2.59e-08 1.925e-05 0.000627 9.415 0.003642 2.326e-08 0.0003565 1.381e-07 0 0 0 0 0 0 0.0001498 0.0001497 0 1.807e-07 0 0 0.01164 -2.291e-06 0.008374 -2.291e-06 0.01102 -3.633e-06 0.008374 -3.633e-06 0.01043 1755 704.2 -0.03135 0.03344 0.9004 1.104 5.538 
400 16.0829310774474 14.9999945062785 15.004831812013 0.0061 1.213e-07 1.914e-05 0.001495 10.54 0.003299 5.53e-08 0.0003991 1.255e-07 0 0 0 0 0 0 0.0003086 0.000308 0 6.135e-07 0 0 0.02184 -3.759e-06 0.0127 -3.759e-06 0.02039 -5.962e-06 0.0127 -5.962e-06 0.01897 1755 704.2 -0.04233 0.04595 0.8925 1.111 5.626 
500 16.7601202790176 14.9999930879848 15.007169636075 0.007419 -1.595e-08 1.075e-05 0.0005748 11.08 0.003453 2.008e-08 0.0004196 1.313e-07 0 0 0 0 0 0 0.0005187 0.0005173 0 1.412e-06 0 0 0.03377 -5.988e-06 0.0171 -5.988e-06 0.03109 -8.104e-06 0.0171 -8.104e-06 0.02836 1755 704.3 -0.05217 0.05689 0.8863 1.117 5.678 
600 17.5581523770915 14.9999914732153 15.0087802286323 0.008518 -6.638e-08 1.667e-05 0.000431 11.38 0.004062 1.449e-08 0.0004309 1.545e-07 0 0 0 0 0 0 0.0007765 0.0007736 0 2.893e-06 0 0 0.04894 -8.452e-06 0.0215 -8.452e-06 0.04463 -1.01e-05 0.0215 -1.01e-05 0.04011 1755 704.3 -0.06099 0.06523 0.8814 1.121 5.691 
700 18.4562429218744 14.9999922243716 15.0100106594473 0.009426 -2.789e-08 1.98e-05 0.0002456 11.62 0.006256 7.519e-09 0.0004396 2.375e-07 0 0 0 0 0 0 0.001076 0.001071 0 5.186e-06 0 0 0.06619 -1.157e-05 0.0258 -1.157e-05 0.05987 -1.171e-05 0.0258 -1.171e-05 0.05317 1755 704.3 -0.06945 0.07265 0.8761 1.125 5.687 
800 19.4368416666159 14.9999883144743 15.0110286103971 0.01017 -8.002e-08 1.515e-05 0.0006254 11.73 0.003507 2.049e-08 0.0004438 1.34e-07 0 0 0 0 0 0 0.001416 0.001407 0 8.52e-06 0 0 0.08555 -1.346e-05 0.02995 -1.346e-05 0.07689 -1.344e-05 0.02995 -1.344e-05 0.06756 1755 704.3 -0.07732 0.08159 0.8711 1.131 5.683 
900 20.4854077468492 14.9999904850027 15.0118868901434 0.01079 -1.875e-08 1.445e-05 0.0004725 11.78 0.003507 1.439e-08 0.0004456 1.341e-07 0 0 0 0 0 0 0.001793 0.00178 0 1.325e-05 0 0 0.1074 -1.649e-05 0.03394 -1.649e-05 0.09597 -1.429e-05 0.03394 -1.429e-05 0.08363 1755 704.4 -0.08474 0.09292 0.8658 1.138 5.705 
